"disease","menopause_timing_definition","health_outcome","metric_type","metric_value","ci_95","reference","date_published","n_of_included_studies","sample_size","geography","confounder_vars","authors","robis_categorical_risk","robis_quality_score"
"All Cause Mortality","<40 vs 45-49","All cause mortality (adjusted)","HR","1.10","1.01-1.21","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 45-49","All cause mortality (adjusted)","RR","1.34","1.08-1.66","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 45-49","Cardiovascular mortality","HR","1.09","1.00-1.19","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","40-44 vs 45-49","All cause mortality (adjusted)","HR","1.12","0.96-1.31","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","40-44 vs 45-49","All cause mortality (adjusted)","RR","1.03","0.96-1.10","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","45-49 vs 49-52","All cause mortality (adjusted)","HR","1.05","1.00-1.10","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","45-49 vs 49-52","All cause mortality (adjusted)","RR","1.02","1.01-1.04","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"Type 2 Diabetes","per 1 standard deviation of age at natural menopause increase","Uterine leiomyoma","OR","1.0864","1.0429-1.1317","https://doi.org/10.3389/fendo.2023.1133260","2023","N/A","N/A","Europe","Sex, age, age squared, principal components, study-specific covariates","['Qu, Yangming', 'Chen, Lanlan', 'Guo, Shijie', 'Liu, Ying', 'Wu, Hui']","Low","10"
"Type 2 Diabetes","per 1 standard deviation of age at natural menopause increase","Uterine leiomyoma","OR","1.0013","1.0006-1.0020","https://doi.org/10.3389/fendo.2023.1133260","2023","N/A","N/A","Europe","Sex, age, age squared, principal components, study-specific covariates","['Qu, Yangming', 'Chen, Lanlan', 'Guo, Shijie', 'Liu, Ying', 'Wu, Hui']","Low","10"
"Cardiovascular Disease","<40 vs 49-52","Cardiovascular mortality (adjusted)","HR","1.09","1.00-1.19","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, marital partner, parity, age at menarche, oral contraceptive use, height, weight, use of ET, birth cohort, occupation, income, regular exercise, current smoking or alcohol, reproductive factors, number of chronic diseases, hypertension, diabetes, high blood cholesterol, dietary pattern, vegetarian status, use of estrogen replacement therapy, unilateral oophorectomy, physical exercise, CVD history, number of live births","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"Cardiovascular Disease","40-44 vs 49-52","Cardiovascular mortality (adjusted)","HR","1.07","0.90-1.27","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, marital partner, parity, age at menarche, oral contraceptive use, height, weight, use of ET, birth cohort, occupation, income, regular exercise, current smoking or alcohol, reproductive factors, number of chronic diseases, hypertension, diabetes, high blood cholesterol, dietary pattern, vegetarian status, use of estrogen replacement therapy, unilateral oophorectomy, physical exercise, CVD history, number of live births","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"Cardiovascular Disease","45-49 vs 49-52","Cardiovascular mortality (adjusted)","HR","0.97","0.88-1.07","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, marital partner, parity, age at menarche, oral contraceptive use, height, weight, use of ET, birth cohort, occupation, income, regular exercise, current smoking or alcohol, reproductive factors, number of chronic diseases, hypertension, diabetes, high blood cholesterol, dietary pattern, vegetarian status, use of estrogen replacement therapy, unilateral oophorectomy, physical exercise, CVD history, number of live births","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"Cardiovascular Disease","<40 vs 49-52","Cardiovascular mortality (adjusted)","RR","1.26","0.56-2.85","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, marital partner, parity, age at menarche, oral contraceptive use, height, weight, use of ET, birth cohort, occupation, income, regular exercise, current smoking or alcohol, reproductive factors, number of chronic diseases, hypertension, diabetes, high blood cholesterol, dietary pattern, vegetarian status, use of estrogen replacement therapy, unilateral oophorectomy, physical exercise, CVD history, number of live births","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"Cardiovascular Disease","40-44 vs 49-52","Cardiovascular mortality (adjusted)","RR","1.04","0.54-2.00","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, marital partner, parity, age at menarche, oral contraceptive use, height, weight, use of ET, birth cohort, occupation, income, regular exercise, current smoking or alcohol, reproductive factors, number of chronic diseases, hypertension, diabetes, high blood cholesterol, dietary pattern, vegetarian status, use of estrogen replacement therapy, unilateral oophorectomy, physical exercise, CVD history, number of live births","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"Cardiovascular Disease","45-49 vs 49-52","Cardiovascular mortality (adjusted)","RR","1.05","0.67-1.64","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, marital partner, parity, age at menarche, oral contraceptive use, height, weight, use of ET, birth cohort, occupation, income, regular exercise, current smoking or alcohol, reproductive factors, number of chronic diseases, hypertension, diabetes, high blood cholesterol, dietary pattern, vegetarian status, use of estrogen replacement therapy, unilateral oophorectomy, physical exercise, CVD history, number of live births","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"Cardiovascular Disease","early menopause (<45) vs reference (49-52)","Cardiovascular mortality (adjusted)","HR","1.01","0.95-1.09","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, marital partner, parity, age at menarche, oral contraceptive use, height, weight, use of ET, birth cohort, occupation, income, regular exercise, current smoking or alcohol, reproductive factors, number of chronic diseases, hypertension, diabetes, high blood cholesterol, dietary pattern, vegetarian status, use of estrogen replacement therapy, unilateral oophorectomy, physical exercise, CVD history, number of live births","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"Cardiovascular Disease","early menopause (<45) vs reference (49-52)","Cardiovascular mortality (adjusted)","RR","1.08","0.77-1.51","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, marital partner, parity, age at menarche, oral contraceptive use, height, weight, use of ET, birth cohort, occupation, income, regular exercise, current smoking or alcohol, reproductive factors, number of chronic diseases, hypertension, diabetes, high blood cholesterol, dietary pattern, vegetarian status, use of estrogen replacement therapy, unilateral oophorectomy, physical exercise, CVD history, number of live births","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"Cardiovascular Disease","<10 years vs >=10 years after menopause","All-cause death (adjusted)","RR","not provided","not provided","https://doi.org/10.1186/s12905-023-02788-0","2024-Jan-23","33","44639","N/A","N/A","['Gu, Yimeng', 'Han, Fangfang', 'Xue, Mei', 'Wang, Miyuan', 'Huang, Yuxiao']","Low","10"
"Cardiovascular Disease","<10 years vs >=10 years after menopause","Cardiovascular events (adjusted)","RR","not provided","not provided","https://doi.org/10.1186/s12905-023-02788-0","2024-Jan-23","33","44639","N/A","N/A","['Gu, Yimeng', 'Han, Fangfang', 'Xue, Mei', 'Wang, Miyuan', 'Huang, Yuxiao']","Low","10"
"Cardiovascular Disease","<10 years vs >=10 years after menopause","Flow-mediated arterial dilation (FMD) improvement (adjusted)","SMD","not provided","not provided","https://doi.org/10.1186/s12905-023-02788-0","2024-Jan-23","33","44639","N/A","N/A","['Gu, Yimeng', 'Han, Fangfang', 'Xue, Mei', 'Wang, Miyuan', 'Huang, Yuxiao']","Low","10"
"Cardiovascular Disease","<45 vs >=45","Coronary heart disease","RR","1.50","1.28-1.76","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","<45 vs >=45","Fatal coronary heart disease","RR","1.11","1.03-1.20","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","<45 vs >=45","Stroke","RR","1.23","0.98-1.53","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","<45 vs >=45","Stroke mortality","RR","0.99","0.92-1.07","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","<45 vs >=45","Cardiovascular disease mortality","RR","1.19","1.08-1.31","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","<45 vs >=45","All-cause mortality","RR","1.12","1.03-1.21","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","45-49 vs >=50","Coronary heart disease","RR","1.12","0.95-1.31","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","45-49 vs >=50","Stroke","RR","0.95","0.74-1.23","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","45-49 vs >=50","All-cause mortality","RR","1.03","1.00-1.05","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","45-49 vs >=50","Cardiovascular disease mortality","RR","0.99","0.92-1.07","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","45-49 vs >=50","Fatal coronary heart disease","RR","0.98","0.93-1.04","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","45-49 vs >=50","Stroke mortality","RR","1.03","0.91-1.16","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","50-54 vs <50","All-cause mortality","RR","1.02","0.89-1.15","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"Cardiovascular Disease","50-54 vs <50","Cardiovascular disease mortality","RR","0.96","0.74-1.24","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","329310","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
