disease,menopause_timing_definition,health_outcome,metric_type,metric_value,ci_95,reference,date_published,n_of_included_studies,sample_size,geography,confounder_vars,authors,robis_categorical_risk,robis_quality_score
All cause mortality,35-40 vs 49-51,CHD mortality,RR,1.5,1.0-2.3,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,<40 vs 50-54,All-cause mortality,RR,1.97,1.30-2.99,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,b46.64 years vs 48.80-50.15,CHD,RR,1.24,0.83-1.86,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,b46.64 years vs 48.80-50.15,Stroke,RR,0.86,0.66-1.11,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,<45 vs 50-54,Total mortality,RR,0.88,0.73-1.06,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,<45 vs 50-54,CVD,RR,0.96,0.75-1.23,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,<40 vs 49-52,All cause mortality (adjusted),HR,1.08,1.03-1.14,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
All cause mortality,<40 vs 49-52,All cause mortality (adjusted),RR,1.05,1.01-1.08,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
All cause mortality,<40 vs 49-52,Cardiovascular mortality (adjusted),HR,1.01,0.95-1.09,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
All cause mortality,<40 vs 49-52,Cardiovascular mortality (adjusted),RR,1.08,0.77-1.51,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
All cause mortality,<40 vs 49-52,All cause mortality (adjusted),HR,1.1,1.01-1.21,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
All cause mortality,<40 vs 49-52,All cause mortality (adjusted),RR,1.34,1.08-1.66,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
All cause mortality,<40 vs 49-52,Cardiovascular mortality,HR,1.09,1.00-1.19,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
All cause mortality,40-44 vs 49-52,All cause mortality (adjusted),HR,1.12,0.96-1.31,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
All cause mortality,45-49 vs 49-52,All cause mortality (adjusted),HR,1.05,1.00-1.10,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
All cause mortality,40-44 vs 49-52,All cause mortality (adjusted),RR,1.03,0.96-1.10,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
All cause mortality,45-49 vs 49-52,All cause mortality (adjusted),RR,1.02,1.01-1.04,https://doi.org/10.1155/2021/6636856,2021,16,321233,"USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, BMI, smoking, alcohol, education, marital status, hypertension, diabetes, physical exercise, hormone replacement therapy use, race, socioeconomic status, parity, age at menarche, type of menopause, medical conditions, reproductive factors, contraceptive use, lactation duration, unilateral oophorectomy, dietary pattern, occupation, income, waist-to-hip ratio, self-cognitive health level, chronic disease, oral contraceptive use, birth cohort","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']",Low,10
